NIVEL=1
CAMINO=1
0;14
0;13
0;12
0;11
0;10
0;9
0;8
0;7
0;6
0;5
0;4
0;3
0;2
0;1
0;0
NIVEL=2
CAMINO=1
0;0
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0;11
0;12
0;13
0;14
NIVEL=3
CAMINO=1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
CAMINO=2
0;19
1;19
2;19
3;19
4;19
5;19
6;19
7;19
8;19
9;19
10;19
11;19
12;19
13;19
14;19
15;19
16;19
17;19
18;19
19;19
NIVEL=4
CAMINO=1
19;19
18;19
17;19
16;19
15;19
14;19
13;19
12;19
11;19
10;19
9;19
8;19
7;19
6;19
5;19
4;19
3;19
2;19
1;19
0;19
CAMINO=2
19;0
18;0
17;0
16;0
15;0
14;0
13;0
12;0
11;0
10;0
9;0
8;0
7;0
6;0
5;0
4;0
3;0
2;0
1;0
0;0
